date,index_nav,products_cnts
2014/1/27,1.218439134,23
2014/1/28,1.224585672,24
2014/1/29,1.224405755,24
2014/1/30,1.225230943,24
2014/2/7,1.229776157,24
2014/2/10,1.229925534,24
2014/2/11,1.232445226,24
2014/2/12,1.234787945,24
2014/2/13,1.23622723,24
2014/2/14,1.23858285,24
2014/2/17,1.235752699,24
2014/2/18,1.23780479,24
2014/2/19,1.239256487,24
2014/2/20,1.24528454,24
2014/2/21,1.249542402,24
2014/2/24,1.268283257,24
2014/2/25,1.27735663,24
2014/2/26,1.283556227,24
2014/2/27,1.291974858,24
2014/2/28,1.295947062,24
2014/3/3,1.298218209,23
2014/3/4,1.299943344,23
2014/3/5,1.296965823,23
2014/3/6,1.296031709,26
2014/3/7,1.299344869,26
2014/3/10,1.299619631,26
2014/3/11,1.301791275,26
2014/3/12,1.304676665,26
2014/3/13,1.304485621,26
2014/3/14,1.301999306,26
2014/3/17,1.303438792,26
2014/3/18,1.304005607,26
2014/3/19,1.303347345,26
2014/3/20,1.304552831,26
2014/3/21,1.307478421,26
2014/3/24,1.305881105,26
2014/3/25,1.302842229,26
2014/3/26,1.301005933,26
2014/3/27,1.298592254,27
2014/3/28,1.29709327,27
2014/3/31,1.297074476,28
2014/4/1,1.296341934,28
2014/4/2,1.295129797,29
2014/4/3,1.294446834,29
2014/4/4,1.294875546,29
2014/4/8,1.298186704,29
2014/4/9,1.300770283,29
2014/4/10,1.304951264,29
2014/4/11,1.30821942,29
2014/4/14,1.306047474,29
2014/4/15,1.30457985,29
2014/4/16,1.302072942,29
2014/4/17,1.301867866,29
2014/4/18,1.305974913,29
2014/4/21,1.310049447,29
2014/4/22,1.309644059,29
2014/4/23,1.31006291,29
2014/4/24,1.30706892,29
2014/4/25,1.305922827,29
2014/4/28,1.305405766,28
2014/4/29,1.30415087,29
2014/4/30,1.304814418,30
2014/5/5,1.304884014,29
2014/5/6,1.307048767,29
2014/5/7,1.307857262,29
2014/5/8,1.30864435,28
2014/5/9,1.307911579,28
2014/5/12,1.304272223,27
2014/5/13,1.302689015,27
2014/5/14,1.299942768,27
2014/5/15,1.300267012,27
2014/5/16,1.304172133,27
2014/5/19,1.302621299,27
2014/5/20,1.303666493,27
2014/5/21,1.303247602,28
2014/5/22,1.303667629,28
2014/5/23,1.303476642,28
2014/5/26,1.299514864,28
2014/5/27,1.298112437,28
2014/5/28,1.296585528,28
2014/5/29,1.296569531,29
2014/5/30,1.299533457,29
2014/6/3,1.301689027,31
2014/6/4,1.301730454,31
2014/6/5,1.302226359,31
2014/6/6,1.301085243,31
2014/6/9,1.29994046,31
2014/6/10,1.299872352,31
2014/6/11,1.297726799,31
2014/6/12,1.299166296,31
2014/6/13,1.297332393,31
2014/6/16,1.297445793,31
2014/6/17,1.298075008,31
2014/6/18,1.296996389,32
2014/6/19,1.295321861,32
2014/6/20,1.295656329,32
2014/6/23,1.297593441,32
2014/6/24,1.296567535,32
2014/6/25,1.296342986,32
2014/6/26,1.296598979,34
2014/6/27,1.295563317,34
2014/6/30,1.294191273,34
2014/7/1,1.291541975,32
2014/7/2,1.289855871,32
2014/7/3,1.28937444,32
2014/7/4,1.28887059,31
2014/7/7,1.295067896,31
2014/7/8,1.298710625,31
2014/7/9,1.301263073,31
2014/7/10,1.302124618,30
2014/7/11,1.305462119,30
2014/7/14,1.305218293,31
2014/7/15,1.30349168,28
2014/7/16,1.30113068,28
2014/7/17,1.295726726,28
2014/7/18,1.293721474,27
2014/7/21,1.297484081,27
2014/7/22,1.300509511,27
2014/7/23,1.304262921,27
2014/7/24,1.30883816,26
2014/7/25,1.313091959,26
2014/7/28,1.319340701,25
2014/7/29,1.321787641,22
2014/7/30,1.323505946,22
2014/7/31,1.32852962,22
2014/8/1,1.330667648,21
